Frecuencia (Hz)	Nivel (dB)
2.691650	-15.237892
5.383301	-10.758712
8.074951	-11.504797
10.766602	-12.821250
13.458252	-13.825286
16.149902	-14.638335
18.841553	-15.322459
21.533203	-15.887944
24.224854	-16.389812
26.916504	-17.013809
29.608154	-17.143414
32.299805	-17.712849
34.991455	-18.181879
37.683105	-18.069902
40.374756	-18.947145
43.066406	-18.841423
45.758057	-18.881245
48.449707	-20.425707
51.141357	-18.624372
53.833008	-20.723137
56.524658	-20.569834
59.216309	-19.158512
61.907959	-21.365122
64.599609	-21.583054
67.291260	-19.755247
69.982910	-20.787073
72.674561	-22.836084
75.366211	-21.444897
78.057861	-20.308632
80.749512	-21.485088
83.441162	-23.487570
86.132812	-22.502489
88.824463	-21.037027
91.516113	-21.279736
94.207764	-22.984015
96.899414	-24.233307
99.591064	-22.839668
102.282715	-21.642609
104.974365	-21.767876
107.666016	-23.037888
110.357666	-24.700621
113.049316	-24.377981
115.740967	-22.897491
118.432617	-22.179558
121.124268	-22.426374
123.815918	-23.567465
126.507568	-25.094324
129.199219	-25.360569
131.890869	-24.130482
134.582520	-23.106768
137.274170	-22.740715
139.965820	-23.172134
142.657471	-24.223362
145.349121	-25.565435
148.040771	-26.096481
150.732422	-25.247887
153.424072	-24.172510
156.115723	-23.491880
158.807373	-23.381235
161.499023	-23.857237
164.190674	-24.825060
166.882324	-25.978300
169.573975	-26.691023
172.265625	-26.318359
174.957275	-25.373867
177.648926	-24.521435
180.340576	-24.027548
183.032227	-24.010286
185.723877	-24.400978
188.415527	-25.205999
191.107178	-26.221401
193.798828	-27.065310
196.490479	-27.257305
199.182129	-26.716759
201.873779	-25.881493
204.565430	-25.126328
207.257080	-24.686295
209.948730	-24.575907
212.640381	-24.810081
215.332031	-25.346714
218.023682	-26.156200
220.715332	-27.050936
223.406982	-27.712303
226.098633	-27.862803
228.790283	-27.477354
231.481934	-26.776844
234.173584	-26.047316
236.865234	-25.518980
239.556885	-25.229458
242.248535	-25.202438
244.940186	-25.425777
247.631836	-25.894054
250.323486	-26.553434
253.015137	-27.340166
255.706787	-28.046545
258.398438	-28.438066
261.090088	-28.423206
263.781738	-28.036180
266.473389	-27.411945
269.165039	-26.772532
271.856689	-26.267447
274.548340	-25.931498
277.239990	-25.797575
279.931641	-25.855824
282.623291	-26.105782
285.314941	-26.531757
288.006592	-27.113525
290.698242	-27.778406
293.389893	-28.432478
296.081543	-28.912430
298.773193	-29.096560
301.464844	-28.971331
304.156494	-28.574390
306.848145	-28.025778
309.539795	-27.475700
312.231445	-27.001472
314.923096	-26.655363
317.614746	-26.457315
320.306396	-26.406364
322.998047	-26.503601
325.689697	-26.743364
328.381348	-27.116407
331.072998	-27.606752
333.764648	-28.177044
336.456299	-28.756386
339.147949	-29.265606
341.839600	-29.610758
344.531250	-29.719971
347.222900	-29.579350
349.914551	-29.233597
352.606201	-28.777729
355.297852	-28.294456
357.989502	-27.841722
360.681152	-27.474630
363.372803	-27.210505
366.064453	-27.057053
368.756104	-27.018173
371.447754	-27.089188
374.139404	-27.270262
376.831055	-27.553978
379.522705	-27.934486
382.214355	-28.389864
384.906006	-28.893211
387.597656	-29.394211
390.289307	-29.833368
392.980957	-30.164482
395.672607	-30.331699
398.364258	-30.293568
401.055908	-30.072573
403.747559	-29.735373
406.439209	-29.333481
409.130859	-28.909788
411.822510	-28.516392
414.514160	-28.179815
417.205811	-27.916634
419.897461	-27.738298
422.589111	-27.643715
425.280762	-27.635656
427.972412	-27.710810
430.664062	-27.868353
433.355713	-28.105148
436.047363	-28.414637
438.739014	-28.788593
441.430664	-29.207739
444.122314	-29.645939
446.813965	-30.074772
449.505615	-30.454201
452.197266	-30.747808
454.888916	-30.922119
457.580566	-30.944519
460.272217	-30.817110
462.963867	-30.577553
465.655518	-30.261099
468.347168	-29.902119
471.038818	-29.539080
473.730469	-29.194038
476.422119	-28.886826
479.113770	-28.634666
481.805420	-28.441290
484.497070	-28.313028
487.188721	-28.248758
489.880371	-28.249371
492.572021	-28.313118
495.263672	-28.439383
497.955322	-28.625908
500.646973	-28.869587
503.338623	-29.165771
506.030273	-29.503920
508.721924	-29.872507
511.413574	-30.253458
514.105225	-30.625093
516.796875	-30.969509
519.488525	-31.258995
522.180176	-31.460567
524.871826	-31.555077
527.563477	-31.539986
530.255127	-31.421608
532.946777	-31.212120
535.638428	-30.937946
538.330078	-30.633516
541.021729	-30.318169
543.713379	-30.006414
546.405029	-29.718086
549.096680	-29.461025
551.788330	-29.244438
554.479980	-29.074654
557.171631	-28.951374
559.863281	-28.878672
562.554932	-28.853214
565.246582	-28.877712
567.938232	-28.948397
570.629883	-29.067339
573.321533	-29.230469
576.013184	-29.437923
578.704834	-29.684933
581.396484	-29.965776
584.088135	-30.274752
586.779785	-30.598677
589.471436	-30.928997
592.163086	-31.253431
594.854736	-31.553736
597.546387	-31.813950
600.238037	-32.014000
602.929688	-32.135143
605.621338	-32.173866
608.312988	-32.133362
611.004639	-32.014515
613.696289	-31.827938
616.387939	-31.595356
619.079590	-31.333736
621.771240	-31.058111
624.462891	-30.785261
627.154541	-30.522535
629.846191	-30.277477
632.537842	-30.059731
635.229492	-29.871214
637.921143	-29.717718
640.612793	-29.599968
643.304443	-29.518845
645.996094	-29.475231
648.687744	-29.467779
651.379395	-29.497482
654.071045	-29.562485
656.762695	-29.663399
659.454346	-29.798506
662.145996	-29.966795
664.837646	-30.166716
667.529297	-30.393757
670.220947	-30.645845
672.912598	-30.915146
675.604248	-31.196926
678.295898	-31.484823
680.987549	-31.768631
683.679199	-32.040653
686.370850	-32.287636
689.062500	-32.493340
691.754150	-32.649544
694.445801	-32.751274
697.137451	-32.790493
699.829102	-32.763004
702.520752	-32.675297
705.212402	-32.538456
707.904053	-32.359528
710.595703	-32.146706
713.287354	-31.914974
715.979004	-31.676247
718.670654	-31.437191
721.362305	-31.206402
724.053955	-30.988810
726.745605	-30.787573
729.437256	-30.608248
732.128906	-30.452326
734.820557	-30.322502
737.512207	-30.220087
740.203857	-30.145069
742.895508	-30.098497
745.587158	-30.079315
748.278809	-30.088287
750.970459	-30.124222
753.662109	-30.187643
756.353760	-30.277283
759.045410	-30.393402
761.737061	-30.534292
764.428711	-30.699488
767.120361	-30.886366
769.812012	-31.092947
772.503662	-31.316050
775.195312	-31.551615
777.886963	-31.796968
780.578613	-32.046654
783.270264	-32.295883
785.961914	-32.538330
788.653564	-32.763783
791.345215	-32.964653
794.036865	-33.135284
796.728516	-33.268406
799.420166	-33.357716
802.111816	-33.399448
804.803467	-33.392574
807.495117	-33.339298
810.186768	-33.243412
812.878418	-33.110184
815.570068	-32.948158
818.261719	-32.764851
820.953369	-32.565025
823.645020	-32.356804
826.336670	-32.148506
829.028320	-31.943569
831.719971	-31.746716
834.411621	-31.561653
837.103271	-31.389360
839.794922	-31.233614
842.486572	-31.095413
845.178223	-30.976276
847.869873	-30.877777
850.561523	-30.799494
853.253174	-30.742899
855.944824	-30.706814
858.636475	-30.692345
861.328125	-30.698252
864.019775	-30.725399
866.711426	-30.772547
869.403076	-30.840488
872.094727	-30.927795
874.786377	-31.035114
877.478027	-31.160744
880.169678	-31.304607
882.861328	-31.464859
885.552979	-31.639965
888.244629	-31.828560
890.936279	-32.027542
893.627930	-32.235912
896.319580	-32.450500
899.011230	-32.668003
901.702881	-32.885483
904.394531	-33.096672
907.086182	-33.296387
909.777832	-33.481121
912.469482	-33.645508
915.161133	-33.784508
917.852783	-33.894081
920.544434	-33.969547
923.236084	-34.008518
925.927734	-34.011898
928.619385	-33.980331
931.311035	-33.914265
934.002686	-33.817417
936.694336	-33.694927
939.385986	-33.550968
942.077637	-33.390942
944.769287	-33.220142
947.460938	-33.041515
950.152588	-32.859406
952.844238	-32.679008
955.535889	-32.502758
958.227539	-32.333427
960.919189	-32.173424
963.610840	-32.023399
966.302490	-31.885427
968.994141	-31.760410
971.685791	-31.649265
974.377441	-31.553196
977.069092	-31.472240
979.760742	-31.407242
982.452393	-31.357973
985.144043	-31.324785
987.835693	-31.307425
990.527344	-31.305927
993.218994	-31.320129
995.910645	-31.349924
998.602295	-31.395174
1001.293945	-31.455654
1003.985596	-31.531185
1006.677246	-31.621426
1009.368896	-31.725986
1012.060547	-31.844242
1014.752197	-31.975393
1017.443848	-32.118622
1020.135498	-32.272591
1022.827148	-32.436478
1025.518799	-32.608692
1028.210449	-32.788116
1030.902100	-32.973289
1033.593750	-33.161697
1036.285400	-33.351215
1038.977051	-33.538548
1041.668701	-33.720200
1044.360352	-33.894115
1047.052002	-34.057201
1049.743652	-34.205570
1052.435303	-34.335999
1055.126953	-34.444984
1057.818604	-34.529675
1060.510254	-34.589161
1063.201904	-34.622395
1065.893555	-34.627403
1068.585205	-34.604496
1071.276855	-34.556332
1073.968506	-34.484825
1076.660156	-34.391396
1079.351807	-34.279266
1082.043457	-34.151989
1084.735107	-34.012367
1087.426758	-33.864277
1090.118408	-33.711029
1092.810059	-33.554161
1095.501709	-33.396358
1098.193359	-33.240597
1100.885010	-33.088341
1103.576660	-32.941757
1106.268311	-32.802330
1108.959961	-32.670502
1111.651611	-32.547668
1114.343262	-32.434193
1117.034912	-32.330841
1119.726562	-32.238392
1122.418213	-32.156986
1125.109863	-32.087383
1127.801514	-32.029457
1130.493164	-31.983635
1133.184814	-31.949774
1135.876465	-31.927977
1138.568115	-31.918150
1141.259766	-31.920242
1143.951416	-31.934212
1146.643066	-31.959917
1149.334717	-31.997324
1152.026367	-32.046242
1154.718018	-32.106602
1157.409668	-32.178173
1160.101318	-32.260731
1162.792969	-32.353928
1165.484619	-32.457333
1168.176270	-32.570492
1170.867920	-32.692635
1173.559570	-32.823334
1176.251221	-32.961632
1178.942871	-33.107037
1181.634521	-33.258678
1184.326172	-33.415504
1187.017822	-33.576614
1189.709473	-33.740108
1192.401123	-33.904335
1195.092773	-34.067665
1197.784424	-34.228012
1200.476074	-34.384022
1203.167725	-34.533890
1205.859375	-34.674553
1208.551025	-34.803665
1211.242676	-34.919422
1213.934326	-35.019810
1216.625977	-35.103222
1219.317627	-35.168167
1222.009277	-35.212883
1224.700928	-35.236599
1227.392578	-35.240021
1230.084229	-35.223339
1232.775879	-35.186485
1235.467529	-35.130810
1238.159180	-35.058437
1240.850830	-34.970890
1243.542480	-34.870071
1246.234131	-34.758480
1248.925781	-34.637657
1251.617432	-34.509457
1254.309082	-34.376915
1257.000732	-34.241798
1259.692383	-34.105095
1262.384033	-33.968842
1265.075684	-33.834110
1267.767334	-33.701969
1270.458984	-33.574272
1273.150635	-33.451546
1275.842285	-33.334660
1278.533936	-33.224457
1281.225586	-33.120903
1283.917236	-33.024940
1286.608887	-32.936592
1289.300537	-32.856346
1291.992188	-32.784618
1294.683838	-32.721413
1297.375488	-32.667271
1300.067139	-32.621895
1302.758789	-32.585777
1305.450439	-32.558563
1308.142090	-32.540600
1310.833740	-32.531528
1313.525391	-32.531612
1316.217041	-32.540516
1318.908691	-32.558460
1321.600342	-32.585106
1324.291992	-32.620682
1326.983643	-32.664791
1329.675293	-32.717682
1332.366943	-32.778851
1335.058594	-32.848503
1337.750244	-32.926102
1340.441895	-33.011623
1343.133545	-33.104618
1345.825195	-33.204693
1348.516846	-33.311672
1351.208496	-33.424797
1353.900146	-33.544033
1356.591797	-33.668686
1359.283447	-33.798317
1361.975098	-33.932503
1364.666748	-34.070053
1367.358398	-34.210373
1370.050049	-34.352291
1372.741699	-34.494526
1375.433350	-34.636555
1378.125000	-34.777187
1380.816650	-34.914974
1383.508301	-35.048786
1386.199951	-35.176682
1388.891602	-35.297020
1391.583252	-35.409088
1394.274902	-35.511642
1396.966553	-35.602654
1399.658203	-35.680843
1402.349854	-35.745453
1405.041504	-35.795647
1407.733154	-35.830669
1410.424805	-35.850143
1413.116455	-35.853893
1415.808105	-35.842140
1418.499756	-35.815384
1421.191406	-35.774166
1423.883057	-35.719547
1426.574707	-35.652782
1429.266357	-35.574730
1431.958008	-35.486473
1434.649658	-35.390114
1437.341309	-35.287197
1440.032959	-35.178303
1442.724609	-35.064880
1445.416260	-34.948586
1448.107910	-34.830368
1450.799561	-34.711601
1453.491211	-34.593433
1456.182861	-34.476234
1458.874512	-34.360970
1461.566162	-34.248463
1464.257812	-34.139179
1466.949463	-34.034107
1469.641113	-33.933575
1472.332764	-33.837990
1475.024414	-33.747829
1477.716064	-33.663067
1480.407715	-33.584190
1483.099365	-33.511250
1485.791016	-33.444519
1488.482666	-33.384235
1491.174316	-33.330421
1493.865967	-33.283356
1496.557617	-33.242989
1499.249268	-33.209522
1501.940918	-33.182835
1504.632568	-33.163055
1507.324219	-33.150066
1510.015869	-33.143951
1512.707520	-33.144592
1515.399170	-33.152023
1518.090820	-33.166145
1520.782471	-33.187004
1523.474121	-33.214462
1526.165771	-33.248554
1528.857422	-33.289143
1531.549072	-33.336224
1534.240723	-33.389675
1536.932373	-33.449387
1539.624023	-33.515213
1542.315674	-33.586967
1545.007324	-33.664501
1547.698975	-33.747505
1550.390625	-33.835850
1553.082275	-33.929218
1555.773926	-34.027382
1558.465576	-34.130177
1561.157227	-34.237190
1563.848877	-34.348213
1566.540527	-34.462749
1569.232178	-34.580223
1571.923828	-34.700180
1574.615479	-34.821869
1577.307129	-34.944786
1579.998779	-35.068470
1582.690430	-35.192142
1585.382080	-35.315182
1588.073730	-35.436642
1590.765381	-35.555309
1593.457031	-35.670464
1596.148682	-35.781433
1598.840332	-35.887196
1601.531982	-35.986824
1604.223633	-36.079269
1606.915283	-36.163361
1609.606934	-36.238396
1612.298584	-36.304134
1614.990234	-36.359615
1617.681885	-36.403694
1620.373535	-36.436241
1623.065186	-36.457516
1625.756836	-36.467106
1628.448486	-36.464546
1631.140137	-36.450218
1633.831787	-36.425056
1636.523438	-36.389244
1639.215088	-36.342831
1641.906738	-36.286839
1644.598389	-36.222588
1647.290039	-36.150536
1649.981689	-36.071259
1652.673340	-35.986012
1655.364990	-35.895672
1658.056641	-35.801060
1660.748291	-35.703354
1663.439941	-35.603260
1666.131592	-35.501160
1668.823242	-35.398117
1671.514893	-35.294941
