Frecuencia (Hz)	Nivel (dB)
43,066406	-14,028443
86,132812	-20,940861
129,199219	-22,751518
172,265625	-23,968201
215,332031	-25,148787
258,398438	-26,138529
301,464844	-26,619396
344,531250	-27,074190
387,597656	-27,868692
430,664062	-28,374054
473,730469	-28,922003
516,796875	-29,254583
559,863281	-29,830599
602,929688	-29,986164
645,996094	-30,030287
689,062500	-30,476564
732,128906	-30,826637
775,195312	-31,208527
818,261719	-31,341574
861,328125	-31,396906
904,394531	-31,552967
947,460938	-31,839666
990,527344	-32,250961
1033,593750	-32,499428
1076,660156	-32,461769
1119,726562	-32,843647
1162,792969	-33,107632
1205,859375	-33,068623
1248,925781	-33,281910
1291,992188	-33,400196
1335,058594	-33,548374
1378,125000	-33,737259
1421,191406	-33,795227
1464,257812	-34,524734
1507,324219	-34,503002
1550,390625	-34,467201
1593,457031	-34,633099
1636,523438	-34,634033
1679,589844	-34,772663
1722,656250	-34,806553
1765,722656	-35,212475
1808,789062	-35,144676
1851,855469	-35,242401
1894,921875	-35,555832
1937,988281	-35,587395
1981,054688	-35,457272
2024,121094	-35,661617
2067,187500	-35,818920
2110,253906	-36,085854
2153,320312	-35,989178
2196,386719	-36,156078
2239,453125	-36,061451
2282,519531	-36,061836
2325,585938	-36,256145
2368,652344	-36,305267
2411,718750	-36,535267
2454,785156	-36,674736
2497,851562	-36,776844
2540,917969	-37,178116
2583,984375	-37,148621
2627,050781	-37,021076
2670,117188	-37,097420
2713,183594	-37,488110
2756,250000	-37,661579
2799,316406	-37,478931
2842,382812	-37,249489
2885,449219	-37,339252
2928,515625	-37,507740
2971,582031	-37,606945
3014,648438	-37,658199
3057,714844	-37,735714
3100,781250	-38,010624
3143,847656	-38,156509
3186,914062	-38,436394
3229,980469	-38,350151
3273,046875	-38,369537
3316,113281	-38,436771
3359,179688	-38,141209
3402,246094	-38,283867
3445,312500	-38,380867
3488,378906	-38,518799
3531,445312	-38,628544
3574,511719	-38,556870
3617,578125	-38,933945
3660,644531	-38,971424
3703,710938	-39,140717
3746,777344	-39,021072
3789,843750	-38,992981
3832,910156	-39,162773
3875,976562	-39,155693
3919,042969	-39,240520
3962,109375	-39,300014
4005,175781	-39,245934
